case_id,symptom,topology_note,show_command_output,expected_fault,osi_layer,concept_tag,severity
VLAN-001,PC1 in VLAN 10 cannot ping PC2 in VLAN 20 across S1 and S2,S1 Fa0/24 trunks to S2 Fa0/24,"S1# show interfaces trunk; Fa0/24 trunking native vlan 1; Vlans allowed on trunk 1 10; S2# show vlan brief; 20 Engineering active",VLAN 20 is not allowed on the S1 trunk,2,VLAN,High
VLAN-002,Hosts on VLAN 30 lose connectivity after a new switch is connected,S1 Gi0/1 connects to S2 Gi0/1,"%CDP-4-NATIVE_VLAN_MISMATCH: Native VLAN mismatch discovered on Gi0/1 (1) with S2 Gi0/1 (99); S1# show interfaces trunk; Gi0/1 native vlan 1",Native VLAN mismatch between trunk endpoints,2,VLAN,High
VLAN-003,PC3 cannot reach its default gateway from an access port,S1 Fa0/8 should be an access port for VLAN 40,"S1# show interfaces Fa0/8 switchport; Administrative Mode: static access; Access Mode VLAN: 1 (default); S1# show vlan brief; 40 Finance active",Fa0/8 is assigned to VLAN 1 instead of VLAN 40,2,VLAN,Medium
VLAN-004,Voice phones register but attached PCs in data VLAN 50 have no access,S1 Fa0/12 connects to an IP phone and PC,"S1# show running-config interface Fa0/12; switchport mode access; switchport voice vlan 150; S1# show vlan brief; 50 Users active",Data access VLAN 50 is missing from the phone access port,2,VLAN,Medium
GATEWAY-001,PC1 can reach peers in 192.168.10.0/24 but cannot reach other networks,PC1 is in VLAN 10 with SVI Vlan10 at 192.168.10.1,"PC1> ipconfig; IP Address 192.168.10.25; Default Gateway 192.168.1.1; S1# show ip interface brief; Vlan10 192.168.10.1 up up",PC1 has an incorrect default gateway,3,Gateway,High
GATEWAY-002,All VLAN 20 hosts fail to reach the router despite valid IP addresses,S1 provides the VLAN 20 gateway SVI,"S1# show ip interface brief; Vlan20 unassigned administratively down down; S1# show vlan brief; 20 Sales active",VLAN 20 gateway SVI is shut down and has no gateway address,3,Gateway,High
GATEWAY-003,PC2 cannot leave its subnet after a DHCP lease renewal,R1 is DHCP server for 10.20.30.0/24,"R1# show ip dhcp pool; Pool BRANCH; default-router 10.20.3.1; network 10.20.30.0 255.255.255.0; R1# show ip interface brief; Gi0/0 10.20.30.1 up up",DHCP default-router option does not match the subnet gateway,3,Gateway,High
DHCP-001,New clients receive APIPA addresses on VLAN 10,R1 serves DHCP for VLAN 10,"R1# show ip dhcp pool; Pool LAN_POOL; Utilization mark is 100%; Leased addresses 50; Free addresses 0",DHCP address pool is exhausted,7,DHCP,High
DHCP-002,Clients on VLAN 30 cannot obtain leases from a server on VLAN 100,S1 routes VLAN 30 and DHCP server is 10.100.0.10,"S1# show running-config interface Vlan30; interface Vlan30; ip address 10.30.0.1 255.255.255.0; S1# show ip interface Vlan30",DHCP relay helper-address is missing on Vlan30,7,DHCP,High
DHCP-003,Clients receive addresses but cannot communicate with the local network,R1 offers 192.168.40.0/24 on Gi0/1,"R1# show ip dhcp pool; Pool USERS; network 192.168.40.0 255.255.255.0; default-router 192.168.4.1; R1# show ip interface brief; Gi0/1 192.168.40.1 up up",DHCP pool advertises the wrong default gateway,7,DHCP,Medium
DHCP-004,A laptop is repeatedly offered an address already used by a printer,R1 is the DHCP server for the office LAN,"R1# show ip dhcp binding; 192.168.60.20 Automatic; R1# show running-config | include excluded-address; ip dhcp excluded-address 192.168.60.1 192.168.60.10",A statically assigned printer address is not excluded from DHCP,7,DHCP,Medium
DNS-001,Users can ping 10.10.10.10 but cannot resolve intranet.local,DHCP clients use the DNS server at 10.10.10.10,"PC1> nslookup intranet.local; DNS request timed out; R1# show ip dhcp pool; dns-server 10.10.10.254",DHCP advertises an incorrect DNS server address,7,DNS,Medium
DNS-002,Clients cannot resolve names after the DNS server was moved,R1 provides DHCP on 172.16.5.0/24,"R1# show running-config | section dhcp; ip dhcp pool STAFF; dns-server 172.16.5.5; PC1> ping 172.16.5.5; .....",DHCP points clients to an unreachable DNS server,7,DNS,Medium
DNS-003,The web server opens by IP but not by hostname,DNS server hosts zone cisco.local at 192.168.70.53,"Server# show running-config | include ip dns; ip dns server; ip host portal.cisco.local 192.168.70.70; PC1> nslookup portal.cisco.local 192.168.70.53; ** server can't find portal.cisco.local",DNS zone or host record is missing from the active DNS service,7,DNS,Low
ROUTING-001,R1 and R2 do not form an OSPF neighbor relationship,R1 and R2 connect on Gi0/0 in area 0,"R1# show ip ospf interface Gi0/0; Hello 10 Dead 40; R2# show ip ospf interface Gi0/0; Hello 10 Dead 30",OSPF dead timer mismatch prevents adjacency,3,Routing,Critical
ROUTING-002,Remote LAN routes are absent from R1 routing table,R1 and R2 should exchange OSPF routes on 10.1.12.0/30,"R1# show ip ospf neighbor; Neighbor ID 2.2.2.2 FULL; R1# show ip route ospf; Gateway of last resort is not set; R2# show running-config | include network; network 10.2.0.0 0.0.255.255 area 1",Remote LAN is advertised in the wrong OSPF area,3,Routing,High
